sample_id,source_doi,alloy,alloy_family,base_element,AM_process,AM_subprocess,machine,laser_power_W,scan_speed_mm_s,hatch_spacing_um,layer_thickness_um,beam_diameter_um,build_orientation,specimen_orientation,heat_treatment,density_kg_m3,melting_C,thermal_conductivity_W_mK,specific_heat_J_kgK,cte_1e6_K,relative_density_percent,porosity_percent,grain_size_um,grain_morphology,texture_intensity_MRD,matrix_phase,secondary_phases,microstructure_notes,yield_strength_MPa,UTS_MPa,elongation_percent,hardness_HV,elastic_modulus_GPa,surface_roughness_Ra_um,data_quality_score
demo_0013,demo_literature_style_CuCrZr,CuCrZr,copper alloy,Cu,PBF,L-PBF,EOS M400,315.04,1136.06,115.12,20.0,89.79,XZ,vertical,HIP,8900,1085,320.0,380,17.0,97.595,2.434,25.35,cellular,0.8,Cu,Cr/Zr precipitates,Cu matrix with precipitation after aging,259.77,370.97,16.41,94.0,129.3,7.15,A
demo_0014,demo_literature_style_Ti6Al4V_ELI,Ti6Al4V ELI,titanium alloy,Ti,DED,L-DED,Optomec LENS,1189.77,21.37,909.2,656.65,744.44,XZ,45deg,stress relieved,4420,1650,7.0,526,8.5,96.112,3.847,33.81,columnar,2.4,alpha/beta,alpha prime martensite possible,fine alpha prime in as-built LPBF,889.24,1112.54,5.58,267.6,111.56,29.69,A
demo_0015,demo_literature_style_Ti6Al4V,Ti6Al4V,titanium alloy,Ti,PBF,L-PBF,Optomec LENS,308.87,817.82,117.13,40.0,72.15,Z,vertical,aged,4430,1660,7.1,560,8.6,98.482,1.508,18.49,mixed columnar-equiaxed,3.76,alpha/beta,alpha prime martensite possible,"prior beta grains, alpha laths",960.82,1198.55,12.8,301.48,105.01,13.87,B
demo_0016,demo_literature_style_H13_Tool_Steel,H13 Tool Steel,tool steel,Fe,PBF,L-PBF,SLM 280,387.07,783.16,87.47,30.0,62.29,XY,45deg,annealed,7800,1427,28.6,460,10.4,92.5,7.532,25.0,mixed columnar-equiaxed,2.71,martensite,carbides,martensitic/carbide structure,980.15,1155.87,1.0,351.72,214.4,15.49,A
demo_0017,demo_literature_style_Ti6Al4V,Ti6Al4V,titanium alloy,Ti,PBF,L-PBF,Renishaw AM250,386.7,1179.59,89.74,50.0,84.68,XZ,horizontal,solution+aged,4430,1660,7.1,560,8.6,99.855,0.09,19.33,cellular,2.15,alpha/beta,alpha prime martensite possible,"prior beta grains, alpha laths",1067.86,1183.33,14.56,376.99,111.08,25.54,B
demo_0018,demo_literature_style_316L,316L,stainless steel,Fe,PBF,L-PBF,Trumpf TruPrint,335.18,1219.98,85.89,40.0,70.89,XY,vertical,aged,7990,1385,16.2,500,16.0,99.442,0.533,20.41,columnar,2.07,austenite,delta ferrite/carbides possible,"cellular austenite, dislocation cells",592.97,827.14,39.17,193.87,193.87,12.86,A
demo_0019,demo_literature_style_AlSi7Mg,AlSi7Mg,aluminum alloy,Al,DED,L-DED,Optomec LENS,311.06,6.32,1082.67,577.2,1761.2,XZ,45deg,solution+aged,2670,570,140.0,890,21.5,96.706,3.328,51.31,dendritic,0.8,alpha-Al,Si/Mg2Si,fine Al-Si eutectic/cellular network,282.72,333.65,7.51,100.13,69.57,15.85,A
demo_0020,demo_literature_style_AlSi7Mg,AlSi7Mg,aluminum alloy,Al,PBF,L-PBF,SLM 280,259.35,752.31,94.08,40.0,74.97,XZ,horizontal,as-built,2670,570,140.0,890,21.5,98.749,1.281,12.87,cellular,2.68,alpha-Al,Si/Mg2Si,fine Al-Si eutectic/cellular network,286.0,347.2,9.9,103.23,70.3,7.13,B
demo_0021,demo_literature_style_17-4PH,17-4PH,precipitation-hardening steel,Fe,PBF,L-PBF,Renishaw AM250,357.89,646.76,119.62,60.0,86.96,Z,horizontal,as-built,7800,1420,16.0,460,10.4,99.033,0.918,17.88,cellular,0.8,martensite/ferrite,Cu-rich precipitates,martensitic matrix after aging,933.26,1118.45,16.73,316.66,200.8,14.22,A
demo_0022,demo_literature_style_IN625,IN625,Ni superalloy,Ni,PBF,L-PBF,Renishaw AM250,342.19,625.44,100.75,20.0,84.42,Z,horizontal,as-built,8440,1320,9.2,429,12.8,92.5,7.495,17.4,columnar,0.8,gamma,carbides/Laves possible,cellular dendritic gamma,557.46,728.41,26.41,175.21,203.1,14.14,B
demo_0023,demo_literature_style_IN625,IN625,Ni superalloy,Ni,PBF,L-PBF,Sciaky EBAM,383.3,974.57,128.12,40.0,74.27,XZ,horizontal,HIP,8440,1320,9.2,429,12.8,98.588,1.396,17.94,cellular,0.81,gamma,carbides/Laves possible,cellular dendritic gamma,690.65,814.79,41.42,228.61,207.36,24.69,C
demo_0024,demo_literature_style_AlSi7Mg,AlSi7Mg,aluminum alloy,Al,PBF,L-PBF,Concept Laser M2,204.39,1023.8,128.18,30.0,88.49,XZ,horizontal,stress relieved,2670,570,140.0,890,21.5,98.627,1.425,34.25,mixed columnar-equiaxed,3.7,alpha-Al,Si/Mg2Si,fine Al-Si eutectic/cellular network,268.04,350.43,8.09,106.45,70.38,13.01,B
demo_0025,demo_literature_style_CoCrMo,CoCrMo,cobalt alloy,Co,PBF,L-PBF,Custom Lab System,251.16,1405.59,118.42,60.0,74.07,XY,vertical,aged,8400,1390,13.0,450,14.0,97.266,2.732,15.7,cellular,1.25,gamma/fcc cobalt,carbides,"columnar grains, carbide particles",821.22,957.12,10.06,279.31,215.68,20.14,B
demo_0026,demo_literature_style_CuCrZr,CuCrZr,copper alloy,Cu,DED,L-DED,Renishaw AM250,801.81,18.13,486.07,587.81,1697.79,XZ,vertical,solution+aged,8900,1085,320.0,380,17.0,92.5,7.442,55.44,dendritic,1.28,Cu,Cr/Zr precipitates,Cu matrix with precipitation after aging,248.5,349.01,1.6,56.18,117.98,16.79,B
demo_0027,demo_literature_style_CoCrMo,CoCrMo,cobalt alloy,Co,PBF,L-PBF,SLM 280,185.02,1107.13,83.42,50.0,93.95,XY,vertical,aged,8400,1390,13.0,450,14.0,98.189,1.804,33.59,columnar,2.7,gamma/fcc cobalt,carbides,"columnar grains, carbide particles",780.98,922.83,7.82,238.01,222.01,26.22,C
demo_0028,demo_literature_style_H13_Tool_Steel,H13 Tool Steel,tool steel,Fe,DED,L-DED,EOS M290,669.93,19.01,815.78,515.76,977.56,XY,45deg,stress relieved,7800,1427,28.6,460,10.4,97.417,2.583,54.91,dendritic,1.09,martensite,carbides,martensitic/carbide structure,1125.89,1225.79,1.13,376.63,209.0,8.15,B
demo_0029,demo_literature_style_AlSi7Mg,AlSi7Mg,aluminum alloy,Al,PBF,L-PBF,Sciaky EBAM,190.21,1318.89,111.17,60.0,63.17,Z,45deg,solution+aged,2670,570,140.0,890,21.5,96.691,3.269,18.51,fine equiaxed,2.34,alpha-Al,Si/Mg2Si,fine Al-Si eutectic/cellular network,287.8,364.65,2.67,91.33,78.03,20.95,B
demo_0030,demo_literature_style_IN625,IN625,Ni superalloy,Ni,PBF,L-PBF,Trumpf TruPrint,366.2,701.89,106.22,30.0,98.72,XY,horizontal,as-built,8440,1320,9.2,429,12.8,92.612,7.374,23.45,columnar,3.62,gamma,carbides/Laves possible,cellular dendritic gamma,530.74,767.47,21.4,183.31,205.79,24.09,C
demo_0031,demo_literature_style_Maraging_Steel_M300,Maraging Steel M300,maraging steel,Fe,DED,WAAM,Trumpf TruPrint,1941.63,9.7,1282.16,1091.5,2758.92,Z,horizontal,aged,8100,1413,14.2,452,10.3,92.5,7.556,24.64,dendritic,0.8,martensite,Ni/Ti/Mo precipitates after aging,"martensitic, precipitate strengthened after aging",1031.48,1111.48,1.0,373.41,191.78,18.59,A
demo_0032,demo_literature_style_CuCrZr,CuCrZr,copper alloy,Cu,PBF,L-PBF,Sciaky EBAM,260.1,988.75,105.12,20.0,69.06,XY,45deg,HIP,8900,1085,320.0,380,17.0,97.239,2.68,28.74,mixed columnar-equiaxed,3.27,Cu,Cr/Zr precipitates,Cu matrix with precipitation after aging,298.67,366.38,21.24,113.09,123.85,8.14,C
demo_0033,demo_literature_style_CuCrZr,CuCrZr,copper alloy,Cu,PBF,L-PBF,EOS M400,173.63,1418.34,124.42,20.0,70.54,Z,vertical,solution+aged,8900,1085,320.0,380,17.0,98.713,1.299,24.0,columnar,2.44,Cu,Cr/Zr precipitates,Cu matrix with precipitation after aging,411.25,500.93,16.75,106.67,119.13,9.73,B
demo_0034,demo_literature_style_Ti6Al4V,Ti6Al4V,titanium alloy,Ti,DED,WAAM,Sciaky EBAM,2740.37,10.98,2590.01,889.91,2650.88,Z,horizontal,as-built,4430,1660,7.1,560,8.6,93.835,6.115,52.61,dendritic,1.74,alpha/beta,alpha prime martensite possible,"prior beta grains, alpha laths",872.14,1013.49,1.89,313.18,115.52,8.08,B
demo_0035,demo_literature_style_Maraging_Steel_M300,Maraging Steel M300,maraging steel,Fe,DED,L-DED,Renishaw AM250,708.99,5.3,824.82,633.77,1548.46,Z,45deg,HIP,8100,1413,14.2,452,10.3,92.5,7.454,61.35,mixed columnar-equiaxed,2.61,martensite,Ni/Ti/Mo precipitates after aging,"martensitic, precipitate strengthened after aging",964.12,1096.09,1.0,312.01,190.46,9.48,B
demo_0036,demo_literature_style_316L,316L,stainless steel,Fe,PBF,L-PBF,Renishaw AM250,246.52,807.23,110.07,60.0,69.0,XZ,45deg,solution+aged,7990,1385,16.2,500,16.0,99.204,0.655,16.15,cellular,1.13,austenite,delta ferrite/carbides possible,"cellular austenite, dislocation cells",626.83,709.19,35.53,210.78,194.89,25.82,B
demo_0037,demo_literature_style_Ti6Al4V_ELI,Ti6Al4V ELI,titanium alloy,Ti,PBF,L-PBF,Trumpf TruPrint,145.18,1093.29,117.87,40.0,76.48,XZ,vertical,stress relieved,4420,1650,7.0,526,8.5,98.353,1.635,30.56,columnar,2.9,alpha/beta,alpha prime martensite possible,fine alpha prime in as-built LPBF,907.11,1109.26,10.88,290.33,109.44,24.43,C
demo_0038,demo_literature_style_Ti6Al4V,Ti6Al4V,titanium alloy,Ti,PBF,L-PBF,Custom Lab System,187.78,1347.02,123.29,40.0,90.09,XZ,vertical,solution+aged,4430,1660,7.1,560,8.6,97.193,2.879,17.0,mixed columnar-equiaxed,3.35,alpha/beta,alpha prime martensite possible,"prior beta grains, alpha laths",899.11,996.07,9.28,316.97,106.51,22.09,B
demo_0039,demo_literature_style_CoCrMo,CoCrMo,cobalt alloy,Co,PBF,L-PBF,Renishaw AM250,212.23,1480.46,116.77,60.0,65.22,Z,horizontal,aged,8400,1390,13.0,450,14.0,96.67,3.281,22.56,mixed columnar-equiaxed,2.89,gamma/fcc cobalt,carbides,"columnar grains, carbide particles",796.39,957.59,7.09,266.23,216.81,9.47,A
demo_0040,demo_literature_style_Ti6Al4V,Ti6Al4V,titanium alloy,Ti,PBF,L-PBF,Custom Lab System,308.79,716.02,80.33,50.0,64.65,XY,45deg,HIP,4430,1660,7.1,560,8.6,98.055,1.856,11.49,mixed columnar-equiaxed,1.55,alpha/beta,alpha prime martensite possible,"prior beta grains, alpha laths",934.42,1088.02,14.49,330.51,106.37,10.39,B
demo_0041,demo_literature_style_CuCrZr,CuCrZr,copper alloy,Cu,PBF,L-PBF,EOS M400,309.11,960.22,124.97,40.0,80.92,Z,vertical,aged,8900,1085,320.0,380,17.0,99.394,0.636,13.33,mixed columnar-equiaxed,3.19,Cu,Cr/Zr precipitates,Cu matrix with precipitation after aging,409.82,521.82,18.38,129.04,114.76,28.54,A
demo_0042,demo_literature_style_Ti6Al4V_ELI,Ti6Al4V ELI,titanium alloy,Ti,PBF,L-PBF,Custom Lab System,205.61,1174.86,71.5,60.0,62.37,XY,horizontal,as-built,4420,1650,7.0,526,8.5,98.45,1.698,15.5,columnar,1.7,alpha/beta,alpha prime martensite possible,fine alpha prime in as-built LPBF,991.66,1094.49,13.52,328.19,114.73,7.66,A
demo_0043,demo_literature_style_AlSi7Mg,AlSi7Mg,aluminum alloy,Al,PBF,L-PBF,Concept Laser M2,416.91,1082.57,88.0,20.0,72.88,XZ,45deg,aged,2670,570,140.0,890,21.5,92.5,7.51,37.32,columnar,3.26,alpha-Al,Si/Mg2Si,fine Al-Si eutectic/cellular network,187.43,248.41,1.0,27.52,64.39,17.91,C
demo_0044,demo_literature_style_CoCrMo,CoCrMo,cobalt alloy,Co,DED,L-DED,Concept Laser M2,1199.76,11.45,1028.28,320.97,1099.55,Z,45deg,solution+aged,8400,1390,13.0,450,14.0,92.5,7.524,61.55,mixed columnar-equiaxed,2.54,gamma/fcc cobalt,carbides,"columnar grains, carbide particles",742.95,934.98,1.51,250.26,224.83,21.08,B
demo_0045,demo_literature_style_AlSi7Mg,AlSi7Mg,aluminum alloy,Al,PBF,L-PBF,EOS M400,197.83,755.77,115.87,30.0,92.56,Z,vertical,as-built,2670,570,140.0,890,21.5,98.695,1.362,11.9,columnar,2.99,alpha-Al,Si/Mg2Si,fine Al-Si eutectic/cellular network,295.39,359.71,4.28,104.74,65.08,21.38,B
demo_0046,demo_literature_style_AlSi10Mg,AlSi10Mg,aluminum alloy,Al,PBF,L-PBF,Renishaw AM250,395.2,966.41,85.58,50.0,71.76,Z,vertical,solution+aged,2680,580,160.0,910,20.5,99.06,0.957,35.05,mixed columnar-equiaxed,2.74,alpha-Al,Si network/Mg2Si,fine Si cellular network,307.34,361.22,1.0,108.26,63.46,24.06,B
demo_0047,demo_literature_style_Ti6Al4V,Ti6Al4V,titanium alloy,Ti,PBF,L-PBF,EOS M400,321.62,1172.69,114.57,20.0,64.1,XZ,vertical,stress relieved,4430,1660,7.1,560,8.6,98.409,1.599,14.92,cellular,0.87,alpha/beta,alpha prime martensite possible,"prior beta grains, alpha laths",928.79,1130.61,12.22,343.76,108.81,14.68,C
demo_0048,demo_literature_style_Ti6Al4V,Ti6Al4V,titanium alloy,Ti,DED,WAAM,Custom Lab System,2495.4,8.83,1842.27,1781.2,3087.05,XZ,horizontal,stress relieved,4430,1660,7.1,560,8.6,96.236,3.756,31.49,coarse equiaxed,0.8,alpha/beta,alpha prime martensite possible,"prior beta grains, alpha laths",890.09,1051.77,9.76,280.64,106.39,34.01,B
demo_0049,demo_literature_style_AlSi10Mg,AlSi10Mg,aluminum alloy,Al,PBF,L-PBF,EOS M290,212.71,705.32,74.62,60.0,61.31,XZ,horizontal,annealed,2680,580,160.0,910,20.5,99.572,0.42,22.2,mixed columnar-equiaxed,2.84,alpha-Al,Si network/Mg2Si,fine Si cellular network,254.79,318.51,16.11,79.87,74.62,23.39,C
demo_0050,demo_literature_style_AlSi7Mg,AlSi7Mg,aluminum alloy,Al,PBF,E-PBF,Concept Laser M2,1234.37,456.21,80.34,70.0,169.58,Z,vertical,HIP,2670,570,140.0,890,21.5,92.5,7.474,38.6,columnar,3.95,alpha-Al,Si/Mg2Si,fine Al-Si eutectic/cellular network,164.55,277.82,1.43,71.23,69.28,23.54,A
demo_0051,demo_literature_style_17-4PH,17-4PH,precipitation-hardening steel,Fe,DED,WAAM,Concept Laser M2,923.47,8.27,2097.63,979.4,1305.14,XY,horizontal,stress relieved,7800,1420,16.0,460,10.4,97.888,2.128,30.77,columnar,2.86,martensite/ferrite,Cu-rich precipitates,martensitic matrix after aging,945.51,1126.88,12.88,328.79,201.4,22.87,B
demo_0052,demo_literature_style_IN718,IN718,Ni superalloy,Ni,DED,L-DED,Concept Laser M2,880.65,12.42,651.19,661.16,787.12,XZ,45deg,HIP,8190,1298,9.0,435,14.0,92.5,7.589,46.84,mixed columnar-equiaxed,3.65,gamma,gamma prime/gamma double prime/Laves/delta,"columnar gamma grains, segregation, Laves possible",925.13,1145.09,12.66,321.38,205.49,14.89,B
demo_0053,demo_literature_style_CoCrMo,CoCrMo,cobalt alloy,Co,DED,L-DED,EOS M400,1065.88,19.32,681.09,599.56,1475.95,XZ,vertical,aged,8400,1390,13.0,450,14.0,92.5,7.462,19.23,coarse equiaxed,2.77,gamma/fcc cobalt,carbides,"columnar grains, carbide particles",702.74,878.2,1.0,233.06,220.94,30.04,A
demo_0054,demo_literature_style_H13_Tool_Steel,H13 Tool Steel,tool steel,Fe,PBF,L-PBF,EOS M400,225.96,1128.2,92.1,50.0,81.83,XZ,vertical,as-built,7800,1427,28.6,460,10.4,98.537,1.438,16.64,fine equiaxed,1.42,martensite,carbides,martensitic/carbide structure,1139.38,1276.1,7.93,390.91,210.83,29.61,A
demo_0055,demo_literature_style_Maraging_Steel_M300,Maraging Steel M300,maraging steel,Fe,DED,L-DED,Sciaky EBAM,1013.27,13.77,1058.22,528.25,742.74,XY,vertical,as-built,8100,1413,14.2,452,10.3,92.5,7.42,72.88,mixed columnar-equiaxed,4.35,martensite,Ni/Ti/Mo precipitates after aging,"martensitic, precipitate strengthened after aging",937.57,1131.96,1.0,288.67,188.87,12.53,B
demo_0056,demo_literature_style_CoCrMo,CoCrMo,cobalt alloy,Co,PBF,L-PBF,Custom Lab System,401.13,1004.17,88.52,30.0,80.22,Z,45deg,annealed,8400,1390,13.0,450,14.0,94.919,5.072,23.37,cellular,0.8,gamma/fcc cobalt,carbides,"columnar grains, carbide particles",717.64,929.79,11.09,237.08,222.45,11.46,B
demo_0057,demo_literature_style_17-4PH,17-4PH,precipitation-hardening steel,Fe,DED,WAAM,Concept Laser M2,1769.12,8.11,2545.51,2379.86,1045.16,Z,horizontal,annealed,7800,1420,16.0,460,10.4,99.435,0.495,41.49,columnar,2.1,martensite/ferrite,Cu-rich precipitates,martensitic matrix after aging,797.2,893.47,22.04,249.92,197.43,16.75,B
demo_0058,demo_literature_style_CoCrMo,CoCrMo,cobalt alloy,Co,DED,L-DED,Renishaw AM250,1076.08,16.07,783.41,351.83,1006.53,XZ,vertical,annealed,8400,1390,13.0,450,14.0,92.5,7.51,48.15,dendritic,3.24,gamma/fcc cobalt,carbides,"columnar grains, carbide particles",650.95,873.75,6.13,211.59,219.57,13.68,B
demo_0059,demo_literature_style_316L,316L,stainless steel,Fe,DED,WAAM,Custom Lab System,2521.69,6.31,2545.58,850.3,2356.31,Z,horizontal,as-built,7990,1385,16.2,500,16.0,92.5,7.488,46.07,columnar,3.44,austenite,delta ferrite/carbides possible,"cellular austenite, dislocation cells",433.07,544.5,28.04,152.41,196.77,13.51,B
demo_0060,demo_literature_style_CoCrMo,CoCrMo,cobalt alloy,Co,PBF,L-PBF,Optomec LENS,396.95,1477.85,94.6,40.0,81.93,Z,horizontal,HIP,8400,1390,13.0,450,14.0,99.268,0.708,11.77,columnar,2.12,gamma/fcc cobalt,carbides,"columnar grains, carbide particles",835.38,924.29,18.27,278.09,225.63,34.07,C
demo_0061,demo_literature_style_CoCrMo,CoCrMo,cobalt alloy,Co,DED,L-DED,SLM 280,939.33,5.4,629.72,271.74,1792.0,XY,45deg,HIP,8400,1390,13.0,450,14.0,92.5,7.556,51.41,columnar,2.7,gamma/fcc cobalt,carbides,"columnar grains, carbide particles",689.82,859.5,6.74,217.32,221.33,18.17,B
demo_0062,demo_literature_style_Ti6Al4V_ELI,Ti6Al4V ELI,titanium alloy,Ti,DED,L-DED,Optomec LENS,357.24,9.26,1047.61,481.72,571.88,XZ,45deg,solution+aged,4420,1650,7.0,526,8.5,97.521,2.494,49.14,dendritic,2.22,alpha/beta,alpha prime martensite possible,fine alpha prime in as-built LPBF,907.24,1126.17,13.53,297.21,101.62,23.46,A
demo_0063,demo_literature_style_Ti6Al4V,Ti6Al4V,titanium alloy,Ti,PBF,L-PBF,Optomec LENS,219.28,1228.28,124.29,40.0,78.85,XY,45deg,solution+aged,4430,1660,7.1,560,8.6,98.358,1.584,14.25,mixed columnar-equiaxed,2.82,alpha/beta,alpha prime martensite possible,"prior beta grains, alpha laths",990.64,1077.09,13.45,296.94,122.37,33.75,A
demo_0064,demo_literature_style_17-4PH,17-4PH,precipitation-hardening steel,Fe,PBF,L-PBF,Concept Laser M2,241.61,1224.62,84.8,40.0,72.09,Z,45deg,HIP,7800,1420,16.0,460,10.4,99.273,0.727,12.84,columnar,2.61,martensite/ferrite,Cu-rich precipitates,martensitic matrix after aging,894.6,1064.7,19.59,323.92,198.9,26.11,B
demo_0065,demo_literature_style_H13_Tool_Steel,H13 Tool Steel,tool steel,Fe,PBF,L-PBF,Sciaky EBAM,347.88,1054.86,83.25,30.0,70.87,XY,horizontal,HIP,7800,1427,28.6,460,10.4,96.392,3.677,19.9,cellular,1.66,martensite,carbides,martensitic/carbide structure,1096.64,1218.97,4.8,327.48,214.66,9.84,B
demo_0066,demo_literature_style_IN625,IN625,Ni superalloy,Ni,DED,WAAM,Concept Laser M2,2378.68,14.16,1314.46,1363.51,2186.5,XY,vertical,aged,8440,1320,9.2,429,12.8,95.799,4.223,30.84,columnar,2.9,gamma,carbides/Laves possible,cellular dendritic gamma,613.34,789.19,29.36,231.56,202.92,10.38,B
demo_0067,demo_literature_style_Ti6Al4V,Ti6Al4V,titanium alloy,Ti,PBF,L-PBF,Custom Lab System,220.18,923.99,71.47,50.0,67.5,Z,horizontal,HIP,4430,1660,7.1,560,8.6,99.078,0.906,16.79,columnar,4.25,alpha/beta,alpha prime martensite possible,"prior beta grains, alpha laths",1011.95,1112.66,15.97,331.53,109.53,9.39,B
demo_0068,demo_literature_style_Ti6Al4V_ELI,Ti6Al4V ELI,titanium alloy,Ti,PBF,L-PBF,EOS M400,315.4,1309.37,91.58,40.0,72.33,XY,horizontal,as-built,4420,1650,7.0,526,8.5,99.161,0.857,31.88,cellular,1.16,alpha/beta,alpha prime martensite possible,fine alpha prime in as-built LPBF,1024.32,1211.85,15.96,355.86,104.79,10.78,C
demo_0069,demo_literature_style_Maraging_Steel_M300,Maraging Steel M300,maraging steel,Fe,PBF,L-PBF,SLM 280,388.33,911.54,100.28,30.0,78.91,XY,vertical,as-built,8100,1413,14.2,452,10.3,95.522,4.451,13.95,cellular,2.6,martensite,Ni/Ti/Mo precipitates after aging,"martensitic, precipitate strengthened after aging",1001.42,1202.72,1.0,351.55,190.58,12.48,B
demo_0070,demo_literature_style_CuCrZr,CuCrZr,copper alloy,Cu,DED,L-DED,Sciaky EBAM,859.34,18.45,974.04,782.81,1687.74,XY,vertical,aged,8900,1085,320.0,380,17.0,98.124,1.779,44.03,coarse equiaxed,3.5,Cu,Cr/Zr precipitates,Cu matrix with precipitation after aging,362.7,420.41,15.2,117.86,123.85,18.44,B
demo_0071,demo_literature_style_H13_Tool_Steel,H13 Tool Steel,tool steel,Fe,PBF,L-PBF,Custom Lab System,362.27,814.31,82.4,40.0,85.74,Z,horizontal,stress relieved,7800,1427,28.6,460,10.4,96.161,3.82,23.2,mixed columnar-equiaxed,4.06,martensite,carbides,martensitic/carbide structure,1094.81,1278.32,7.07,400.02,208.72,16.9,C
