sample_id,source_doi,alloy,alloy_family,base_element,AM_process,AM_subprocess,machine,laser_power_W,scan_speed_mm_s,hatch_spacing_um,layer_thickness_um,beam_diameter_um,build_orientation,specimen_orientation,heat_treatment,density_g_cm3,melting_temp_C,thermal_conductivity_W_mK,specific_heat_J_kgK,CTE_1e6_K,relative_density_percent,porosity_percent,grain_size_um,grain_morphology,texture_intensity_MRD,matrix_phase,secondary_phases,microstructure_notes,yield_strength_MPa,UTS_MPa,elongation_percent,hardness_HV,elastic_modulus_GPa,surface_roughness_Ra_um,quality_score
demo_0011,demo_synthetic_literature_style,H13 Tool Steel,tool steel,Fe,DED,L-DED,Renishaw AM250,613.74,22.629,536.47,755.07,80,Z,vertical,aged,7.8,1427,28.6,460,10.4,98.534,1.355,63.565,columnar,1.98,martensite,carbides,martensitic/carbide structure,1187.17,1364.39,6.85,390.8,214.19,36.98,C
demo_0012,demo_synthetic_literature_style,IN718,Ni superalloy,Ni,PBF,L-PBF,Optomec LENS,267.21,1437.826,104.3,40.0,100,XZ,45deg,stress relieved,8.19,1298,11.4,435,13.0,98.552,1.383,11.508,equiaxed,2.89,gamma,gamma prime/gamma double prime/Laves/delta,cellular-dendritic gamma matrix,1085.73,1326.82,17.3,354.16,204.21,5.79,A
demo_0013,demo_synthetic_literature_style,CoCrMo,Co alloy,Co,PBF,L-PBF,EOS M290,152.57,1172.24,86.87,40.0,80,XY,vertical,stress relieved,8.4,1390,13.0,450,14.0,98.466,1.675,14.782,cellular,4.48,FCC/HCP Co,carbides,cellular/dendritic CoCr,831.69,1014.07,6.48,244.16,216.37,24.77,B
demo_0014,demo_synthetic_literature_style,CuCrZr,Cu alloy,Cu,PBF,L-PBF,EOS M290,368.94,1308.251,89.03,30.0,100,XZ,horizontal,as-built,8.9,1085,320.0,380,17.0,99.043,0.944,13.255,equiaxed,2.85,Cu,Cr/Zr-rich precipitates,"Cu matrix, high-conductivity processing sensitive",426.7,643.88,18.46,107.0,113.61,13.04,B
demo_0015,demo_synthetic_literature_style,AlSi10Mg,Al alloy,Al,DED,L-DED,Optomec LENS,1323.47,31.724,1114.76,511.32,80,XZ,horizontal,as-built,2.68,580,160.0,910,20.5,99.174,0.843,45.1,dendritic,3.31,alpha-Al,Si network/Mg2Si,fine cellular Al-Si network,362.75,561.4,9.13,121.6,63.88,16.79,A
demo_0016,demo_synthetic_literature_style,IN718,Ni superalloy,Ni,PBF,L-PBF,SLM 280,156.83,1331.113,79.2,60.0,100,XZ,45deg,HIP,8.19,1298,11.4,435,13.0,98.019,2.098,8.358,equiaxed,2.61,gamma,gamma prime/gamma double prime/Laves/delta,cellular-dendritic gamma matrix,1157.08,1320.28,12.16,373.12,204.18,14.03,B
demo_0017,demo_synthetic_literature_style,H13 Tool Steel,tool steel,Fe,DED,L-DED,Concept Laser M2,752.62,8.955,942.13,273.1,80,XZ,45deg,aged,7.8,1427,28.6,460,10.4,98.486,1.447,28.342,mixed columnar-equiaxed,1.32,martensite,carbides,martensitic/carbide structure,1289.46,1504.01,9.39,382.8,210.15,22.09,B
demo_0018,demo_synthetic_literature_style,CoCrMo,Co alloy,Co,PBF,L-PBF,Arcam Q10,210.28,988.584,109.77,30.0,80,XY,horizontal,annealed,8.4,1390,13.0,450,14.0,98.598,1.346,12.157,cellular,3.74,FCC/HCP Co,carbides,cellular/dendritic CoCr,810.65,1001.94,7.58,263.76,221.14,27.1,B
demo_0019,demo_synthetic_literature_style,H13 Tool Steel,tool steel,Fe,PBF,E-PBF,Renishaw AM250,1611.29,2812.465,176.52,90.0,500,XZ,vertical,aged,7.8,1427,28.6,460,10.4,97.836,2.116,18.394,equiaxed,3.41,martensite,carbides,martensitic/carbide structure,1263.87,1429.93,5.19,354.02,209.19,18.63,B
demo_0020,demo_synthetic_literature_style,Maraging Steel M300,maraging steel,Fe,PBF,L-PBF,Renishaw AM250,380.32,1103.107,94.75,20.0,1000,XY,vertical,solution treated,8.1,1413,14.2,452,10.3,99.201,0.791,2.454,columnar,2.03,martensite,Ni-Ti-Mo precipitates after aging,martensitic with age hardening,1354.19,1594.95,6.69,409.41,199.18,29.43,C
demo_0021,demo_synthetic_literature_style,CuCrZr,Cu alloy,Cu,PBF,L-PBF,Optomec LENS,139.97,1094.434,78.77,30.0,500,XZ,vertical,aged,8.9,1085,320.0,380,17.0,99.165,0.756,12.028,mixed columnar-equiaxed,4.28,Cu,Cr/Zr-rich precipitates,"Cu matrix, high-conductivity processing sensitive",582.3,677.27,17.27,184.49,113.13,10.57,A
demo_0022,demo_synthetic_literature_style,316L,stainless steel,Fe,DED,L-DED,Renishaw AM250,560.93,10.239,442.71,554.69,500,45deg,horizontal,HIP,7.99,1385,16.2,500,16.0,99.056,0.956,51.845,mixed columnar-equiaxed,2.25,austenite,delta ferrite/carbides possible,"cellular austenitic, melt-pool boundaries",559.21,750.68,31.43,188.3,189.51,37.56,B
demo_0023,demo_synthetic_literature_style,IN625,Ni superalloy,Ni,PBF,L-PBF,Concept Laser M2,291.37,916.262,72.96,20.0,1000,45deg,vertical,stress relieved,8.44,1320,9.8,429,12.8,98.805,1.106,20.147,equiaxed,3.76,gamma,carbides/Laves possible,dendritic gamma matrix,789.58,882.05,25.97,277.89,207.27,5.34,A
demo_0024,demo_synthetic_literature_style,H13 Tool Steel,tool steel,Fe,PBF,E-PBF,WAAM lab system,2064.46,2382.537,157.1,70.0,100,XZ,45deg,as-built,7.8,1427,28.6,460,10.4,98.654,1.338,13.988,cellular,2.35,martensite,carbides,martensitic/carbide structure,1248.11,1497.42,3.1,396.69,210.88,26.78,A
demo_0025,demo_synthetic_literature_style,Maraging Steel M300,maraging steel,Fe,PBF,E-PBF,Concept Laser M2,607.49,1538.056,130.03,70.0,70,XY,vertical,as-built,8.1,1413,14.2,452,10.3,97.908,2.161,13.529,mixed columnar-equiaxed,2.14,martensite,Ni-Ti-Mo precipitates after aging,martensitic with age hardening,1209.11,1349.58,7.46,422.54,192.91,35.39,A
demo_0026,demo_synthetic_literature_style,IN625,Ni superalloy,Ni,PBF,L-PBF,WAAM lab system,218.51,1035.435,120.91,30.0,500,XY,vertical,stress relieved,8.44,1320,9.8,429,12.8,98.751,1.315,11.721,equiaxed,3.57,gamma,carbides/Laves possible,dendritic gamma matrix,747.33,947.41,31.49,211.62,208.91,10.86,B
demo_0027,demo_synthetic_literature_style,AlSi10Mg,Al alloy,Al,DED,L-DED,SLM 280,1175.82,7.853,980.57,250.7,500,45deg,vertical,as-built,2.68,580,160.0,910,20.5,97.628,2.366,27.503,cellular,1.68,alpha-Al,Si network/Mg2Si,fine cellular Al-Si network,383.74,570.67,4.06,106.31,64.93,25.2,A
demo_0028,demo_synthetic_literature_style,CuCrZr,Cu alloy,Cu,PBF,L-PBF,Renishaw AM250,297.02,595.049,106.97,20.0,120,XZ,vertical,as-built,8.9,1085,320.0,380,17.0,99.083,0.966,2.0,equiaxed,3.8,Cu,Cr/Zr-rich precipitates,"Cu matrix, high-conductivity processing sensitive",428.14,523.3,20.14,178.52,109.68,8.45,B
demo_0029,demo_synthetic_literature_style,IN718,Ni superalloy,Ni,PBF,L-PBF,SLM 280,155.92,617.104,75.26,20.0,80,45deg,vertical,as-built,8.19,1298,11.4,435,13.0,98.979,1.089,9.574,dendritic,4.31,gamma,gamma prime/gamma double prime/Laves/delta,cellular-dendritic gamma matrix,1177.98,1400.72,15.2,385.86,206.35,6.82,A
demo_0030,demo_synthetic_literature_style,IN718,Ni superalloy,Ni,DED,L-DED,SLM 280,845.88,9.728,518.23,761.68,1000,45deg,vertical,as-built,8.19,1298,11.4,435,13.0,98.338,1.652,68.973,mixed columnar-equiaxed,1.46,gamma,gamma prime/gamma double prime/Laves/delta,cellular-dendritic gamma matrix,981.37,1106.59,16.2,337.68,205.06,32.97,C
demo_0031,demo_synthetic_literature_style,IN718,Ni superalloy,Ni,PBF,L-PBF,Arcam Q10,335.33,1451.195,77.11,30.0,80,XY,vertical,as-built,8.19,1298,11.4,435,13.0,98.808,1.032,23.126,equiaxed,3.04,gamma,gamma prime/gamma double prime/Laves/delta,cellular-dendritic gamma matrix,1108.43,1318.37,18.24,317.5,198.74,2.39,A
demo_0032,demo_synthetic_literature_style,CuCrZr,Cu alloy,Cu,PBF,L-PBF,SLM 280,252.69,801.927,125.11,60.0,120,Z,horizontal,stress relieved,8.9,1085,320.0,380,17.0,98.524,1.363,2.0,cellular,3.55,Cu,Cr/Zr-rich precipitates,"Cu matrix, high-conductivity processing sensitive",364.12,553.24,20.15,135.01,120.69,16.56,A
demo_0033,demo_synthetic_literature_style,316L,stainless steel,Fe,PBF,L-PBF,Concept Laser M2,389.11,529.0,84.45,40.0,1000,45deg,horizontal,annealed,7.99,1385,16.2,500,16.0,98.783,1.282,11.638,mixed columnar-equiaxed,4.02,austenite,delta ferrite/carbides possible,"cellular austenitic, melt-pool boundaries",488.0,648.99,32.78,178.16,180.03,4.22,A
demo_0034,demo_synthetic_literature_style,IN625,Ni superalloy,Ni,PBF,L-PBF,Renishaw AM250,191.57,1349.409,73.43,20.0,70,XY,horizontal,as-built,8.44,1320,9.8,429,12.8,99.125,0.853,14.187,dendritic,4.59,gamma,carbides/Laves possible,dendritic gamma matrix,867.83,1105.83,28.96,313.78,205.46,6.98,A
demo_0035,demo_synthetic_literature_style,IN625,Ni superalloy,Ni,PBF,L-PBF,Optomec LENS,166.56,1234.621,81.58,20.0,70,XZ,vertical,as-built,8.44,1320,9.8,429,12.8,99.062,1.076,4.707,dendritic,3.89,gamma,carbides/Laves possible,dendritic gamma matrix,773.29,894.5,30.65,246.17,195.85,17.57,A
demo_0036,demo_synthetic_literature_style,Ti6Al4V,titanium alloy,Ti,PBF,L-PBF,SLM 280,147.52,683.533,128.8,30.0,100,Z,45deg,as-built,4.43,1660,7.1,560,8.6,98.347,1.687,12.365,cellular,3.83,alpha/beta,alpha-prime martensite possible,"prior beta grains, alpha-prime laths",1089.9,1283.47,11.82,343.01,106.62,18.4,B
demo_0037,demo_synthetic_literature_style,AlSi10Mg,Al alloy,Al,PBF,L-PBF,Arcam Q10,314.77,1440.594,78.91,40.0,70,Z,45deg,as-built,2.68,580,160.0,910,20.5,98.81,1.346,26.462,dendritic,3.57,alpha-Al,Si network/Mg2Si,fine cellular Al-Si network,365.88,595.89,7.17,96.88,71.67,11.84,B
demo_0038,demo_synthetic_literature_style,H13 Tool Steel,tool steel,Fe,PBF,L-PBF,Optomec LENS,243.54,908.783,83.06,40.0,500,Z,vertical,annealed,7.8,1427,28.6,460,10.4,98.042,1.868,11.248,columnar,3.21,martensite,carbides,martensitic/carbide structure,1171.79,1286.72,10.23,353.94,211.74,9.56,C
demo_0039,demo_synthetic_literature_style,Maraging Steel M300,maraging steel,Fe,PBF,L-PBF,Renishaw AM250,314.38,1152.433,88.97,30.0,120,Z,horizontal,aged,8.1,1413,14.2,452,10.3,99.264,0.645,13.538,columnar,6.1,martensite,Ni-Ti-Mo precipitates after aging,martensitic with age hardening,1463.96,1702.03,11.2,474.53,192.9,11.66,A
demo_0040,demo_synthetic_literature_style,H13 Tool Steel,tool steel,Fe,DED,L-DED,Arcam Q10,1072.3,28.996,651.56,702.43,100,45deg,45deg,as-built,7.8,1427,28.6,460,10.4,99.002,1.085,59.321,mixed columnar-equiaxed,1.91,martensite,carbides,martensitic/carbide structure,1146.51,1330.89,9.25,393.23,200.84,22.99,C
demo_0041,demo_synthetic_literature_style,CuCrZr,Cu alloy,Cu,PBF,L-PBF,SLM 280,368.15,1356.548,92.34,50.0,100,Z,45deg,as-built,8.9,1085,320.0,380,17.0,98.916,1.026,5.485,equiaxed,1.0,Cu,Cr/Zr-rich precipitates,"Cu matrix, high-conductivity processing sensitive",389.39,617.27,24.46,136.48,117.2,14.79,A
demo_0042,demo_synthetic_literature_style,CuCrZr,Cu alloy,Cu,PBF,L-PBF,Arcam Q10,331.62,887.842,108.45,30.0,70,XZ,45deg,stress relieved,8.9,1085,320.0,380,17.0,99.229,0.799,17.51,cellular,2.81,Cu,Cr/Zr-rich precipitates,"Cu matrix, high-conductivity processing sensitive",427.14,666.59,22.91,113.53,115.56,20.01,B
demo_0043,demo_synthetic_literature_style,CuCrZr,Cu alloy,Cu,PBF,L-PBF,Renishaw AM250,162.48,948.246,93.55,20.0,100,45deg,horizontal,solution treated,8.9,1085,320.0,380,17.0,99.343,0.667,14.549,columnar,5.06,Cu,Cr/Zr-rich precipitates,"Cu matrix, high-conductivity processing sensitive",338.92,565.68,19.02,98.11,122.26,2.61,B
demo_0044,demo_synthetic_literature_style,AlSi10Mg,Al alloy,Al,PBF,L-PBF,SLM 280,207.62,990.198,105.19,50.0,500,45deg,horizontal,as-built,2.68,580,160.0,910,20.5,98.125,1.74,9.543,mixed columnar-equiaxed,3.75,alpha-Al,Si network/Mg2Si,fine cellular Al-Si network,352.01,546.96,3.88,109.57,71.02,5.95,A
demo_0045,demo_synthetic_literature_style,17-4PH,precipitation-hardening steel,Fe,DED,L-DED,EOS M290,1093.48,15.154,1075.58,489.54,70,XZ,vertical,HIP,7.8,1420,16.0,460,10.4,99.06,1.103,45.955,equiaxed,1.89,martensite/ferrite,Cu-rich precipitates,martensitic or ferritic-martensitic,894.24,1071.95,7.79,257.35,195.56,24.58,A
demo_0046,demo_synthetic_literature_style,CuCrZr,Cu alloy,Cu,PBF,L-PBF,Optomec LENS,395.2,1130.832,80.65,40.0,500,XZ,45deg,stress relieved,8.9,1085,320.0,380,17.0,99.237,0.822,13.042,cellular,2.85,Cu,Cr/Zr-rich precipitates,"Cu matrix, high-conductivity processing sensitive",418.4,626.8,20.08,98.77,119.66,13.57,A
demo_0047,demo_synthetic_literature_style,Maraging Steel M300,maraging steel,Fe,PBF,L-PBF,Optomec LENS,330.91,1133.77,128.91,60.0,100,XZ,horizontal,as-built,8.1,1413,14.2,452,10.3,98.809,1.171,17.181,mixed columnar-equiaxed,1.09,martensite,Ni-Ti-Mo precipitates after aging,martensitic with age hardening,1230.5,1437.95,9.29,370.13,193.57,23.98,A
demo_0048,demo_synthetic_literature_style,316L,stainless steel,Fe,PBF,L-PBF,Renishaw AM250,252.03,1053.104,109.25,50.0,100,45deg,vertical,stress relieved,7.99,1385,16.2,500,16.0,99.014,0.888,15.994,dendritic,5.32,austenite,delta ferrite/carbides possible,"cellular austenitic, melt-pool boundaries",487.16,717.38,31.25,146.56,187.4,16.88,A
demo_0049,demo_synthetic_literature_style,Maraging Steel M300,maraging steel,Fe,PBF,L-PBF,Concept Laser M2,259.49,1477.917,94.69,20.0,70,XY,horizontal,HIP,8.1,1413,14.2,452,10.3,99.287,0.663,9.18,mixed columnar-equiaxed,4.04,martensite,Ni-Ti-Mo precipitates after aging,martensitic with age hardening,1375.59,1596.72,10.17,401.6,192.69,5.79,A
demo_0050,demo_synthetic_literature_style,Maraging Steel M300,maraging steel,Fe,PBF,E-PBF,EOS M290,1785.67,2197.123,172.85,90.0,80,XY,horizontal,annealed,8.1,1413,14.2,452,10.3,98.259,1.638,20.783,columnar,2.44,martensite,Ni-Ti-Mo precipitates after aging,martensitic with age hardening,1150.27,1247.49,12.73,360.04,190.16,26.61,A
demo_0051,demo_synthetic_literature_style,IN718,Ni superalloy,Ni,PBF,L-PBF,Renishaw AM250,323.19,529.607,94.08,50.0,1000,XY,vertical,annealed,8.19,1298,11.4,435,13.0,99.461,0.455,2.0,columnar,5.11,gamma,gamma prime/gamma double prime/Laves/delta,cellular-dendritic gamma matrix,1192.87,1344.59,15.02,336.37,203.45,10.28,A
demo_0052,demo_synthetic_literature_style,H13 Tool Steel,tool steel,Fe,PBF,L-PBF,WAAM lab system,385.97,687.594,75.09,60.0,500,45deg,horizontal,solution treated,7.8,1427,28.6,460,10.4,99.178,0.702,19.195,equiaxed,5.55,martensite,carbides,martensitic/carbide structure,1140.18,1261.6,10.03,364.25,213.08,1.62,A
demo_0053,demo_synthetic_literature_style,CuCrZr,Cu alloy,Cu,DED,WAAM,Renishaw AM250,1859.4,13.984,1644.76,701.55,80,XY,45deg,stress relieved,8.9,1085,320.0,380,17.0,99.538,0.374,60.601,mixed columnar-equiaxed,2.52,Cu,Cr/Zr-rich precipitates,"Cu matrix, high-conductivity processing sensitive",293.81,552.68,22.34,125.09,118.38,14.85,C
demo_0054,demo_synthetic_literature_style,17-4PH,precipitation-hardening steel,Fe,PBF,E-PBF,Concept Laser M2,1954.32,1714.399,114.14,70.0,80,XZ,vertical,aged,7.8,1420,16.0,460,10.4,98.338,1.533,18.392,equiaxed,1.68,martensite/ferrite,Cu-rich precipitates,martensitic or ferritic-martensitic,948.82,1054.14,9.96,312.88,196.43,17.1,B
demo_0055,demo_synthetic_literature_style,IN718,Ni superalloy,Ni,PBF,L-PBF,Concept Laser M2,216.75,655.442,122.46,60.0,500,Z,vertical,stress relieved,8.19,1298,11.4,435,13.0,98.599,1.435,17.326,equiaxed,3.33,gamma,gamma prime/gamma double prime/Laves/delta,cellular-dendritic gamma matrix,1121.72,1222.83,15.92,393.14,202.39,9.39,B
demo_0056,demo_synthetic_literature_style,316L,stainless steel,Fe,DED,L-DED,Concept Laser M2,703.7,21.865,481.52,591.75,80,45deg,vertical,stress relieved,7.99,1385,16.2,500,16.0,98.795,1.23,50.113,cellular,3.15,austenite,delta ferrite/carbides possible,"cellular austenitic, melt-pool boundaries",401.32,550.39,32.43,109.9,178.4,19.22,A
demo_0057,demo_synthetic_literature_style,CuCrZr,Cu alloy,Cu,DED,L-DED,EOS M290,1000.63,20.483,650.06,230.58,80,Z,vertical,as-built,8.9,1085,320.0,380,17.0,98.143,1.852,39.824,cellular,1.22,Cu,Cr/Zr-rich precipitates,"Cu matrix, high-conductivity processing sensitive",294.31,475.87,20.14,89.4,123.24,24.92,A
demo_0058,demo_synthetic_literature_style,AlSi10Mg,Al alloy,Al,DED,L-DED,Concept Laser M2,623.28,30.883,400.99,504.9,80,45deg,horizontal,as-built,2.68,580,160.0,910,20.5,98.453,1.422,51.36,cellular,1.85,alpha-Al,Si network/Mg2Si,fine cellular Al-Si network,262.81,423.78,5.82,112.98,58.6,16.02,A
demo_0059,demo_synthetic_literature_style,AlSi10Mg,Al alloy,Al,DED,L-DED,SLM 280,1251.58,11.848,664.59,758.23,80,45deg,horizontal,as-built,2.68,580,160.0,910,20.5,98.335,1.575,62.598,equiaxed,2.26,alpha-Al,Si network/Mg2Si,fine cellular Al-Si network,312.53,568.22,4.78,107.77,70.79,29.67,A
demo_0060,demo_synthetic_literature_style,IN718,Ni superalloy,Ni,PBF,L-PBF,EOS M290,129.39,610.629,107.21,40.0,70,XZ,vertical,as-built,8.19,1298,11.4,435,13.0,98.928,0.99,2.841,cellular,3.6,gamma,gamma prime/gamma double prime/Laves/delta,cellular-dendritic gamma matrix,1180.12,1282.03,18.5,393.59,203.14,6.64,B
demo_0061,demo_synthetic_literature_style,H13 Tool Steel,tool steel,Fe,PBF,L-PBF,Renishaw AM250,196.28,1418.794,97.27,30.0,1000,XY,horizontal,solution treated,7.8,1427,28.6,460,10.4,99.208,0.935,20.316,columnar,2.58,martensite,carbides,martensitic/carbide structure,1170.29,1327.27,11.18,388.57,216.25,15.81,B
demo_0062,demo_synthetic_literature_style,CoCrMo,Co alloy,Co,DED,WAAM,Optomec LENS,1657.62,3.937,850.72,1019.72,80,XZ,45deg,as-built,8.4,1390,13.0,450,14.0,98.326,1.629,65.307,dendritic,3.88,FCC/HCP Co,carbides,cellular/dendritic CoCr,871.26,968.3,11.22,287.43,226.75,25.07,C
demo_0063,demo_synthetic_literature_style,H13 Tool Steel,tool steel,Fe,PBF,L-PBF,SLM 280,163.12,1193.095,80.38,50.0,500,XY,45deg,as-built,7.8,1427,28.6,460,10.4,97.862,2.134,14.022,cellular,5.3,martensite,carbides,martensitic/carbide structure,1194.38,1429.26,7.26,391.5,210.22,10.78,A
demo_0064,demo_synthetic_literature_style,CoCrMo,Co alloy,Co,PBF,L-PBF,Arcam Q10,306.54,773.187,73.03,40.0,80,45deg,45deg,solution treated,8.4,1390,13.0,450,14.0,98.523,1.518,16.348,equiaxed,1.71,FCC/HCP Co,carbides,cellular/dendritic CoCr,808.27,955.11,11.42,287.21,225.13,12.23,B
demo_0065,demo_synthetic_literature_style,Maraging Steel M300,maraging steel,Fe,PBF,L-PBF,EOS M290,303.23,1053.541,93.77,50.0,500,45deg,45deg,as-built,8.1,1413,14.2,452,10.3,99.076,1.012,13.707,mixed columnar-equiaxed,2.26,martensite,Ni-Ti-Mo precipitates after aging,martensitic with age hardening,1282.75,1518.64,10.05,408.74,187.11,13.52,B
demo_0066,demo_synthetic_literature_style,AlSi10Mg,Al alloy,Al,DED,L-DED,Arcam Q10,948.76,7.822,1111.73,437.0,70,XY,vertical,as-built,2.68,580,160.0,910,20.5,98.729,1.293,37.014,equiaxed,1.72,alpha-Al,Si network/Mg2Si,fine cellular Al-Si network,404.68,636.34,2.37,77.63,60.69,25.17,B
demo_0067,demo_synthetic_literature_style,CoCrMo,Co alloy,Co,PBF,L-PBF,SLM 280,233.72,1017.019,114.5,50.0,70,XY,vertical,as-built,8.4,1390,13.0,450,14.0,97.469,2.563,23.869,mixed columnar-equiaxed,2.37,FCC/HCP Co,carbides,cellular/dendritic CoCr,808.51,952.82,5.83,238.45,218.37,20.56,A
demo_0068,demo_synthetic_literature_style,Ti6Al4V,titanium alloy,Ti,PBF,L-PBF,EOS M290,343.08,523.14,128.75,60.0,500,XY,45deg,as-built,4.43,1660,7.1,560,8.6,99.408,0.584,15.786,columnar,3.87,alpha/beta,alpha-prime martensite possible,"prior beta grains, alpha-prime laths",1248.66,1474.59,11.33,385.11,118.84,9.83,B
demo_0069,demo_synthetic_literature_style,IN625,Ni superalloy,Ni,PBF,L-PBF,SLM 280,260.29,696.742,92.63,30.0,80,Z,vertical,stress relieved,8.44,1320,9.8,429,12.8,99.063,0.938,15.519,dendritic,3.92,gamma,carbides/Laves possible,dendritic gamma matrix,696.77,857.6,32.16,200.21,197.79,11.65,A
demo_0070,demo_synthetic_literature_style,IN718,Ni superalloy,Ni,PBF,L-PBF,Optomec LENS,384.31,778.113,82.13,60.0,500,XY,45deg,as-built,8.19,1298,11.4,435,13.0,98.739,1.214,14.72,mixed columnar-equiaxed,3.78,gamma,gamma prime/gamma double prime/Laves/delta,cellular-dendritic gamma matrix,1068.42,1169.33,17.15,346.23,195.54,1.0,A
demo_0071,demo_synthetic_literature_style,AlSi10Mg,Al alloy,Al,PBF,L-PBF,Renishaw AM250,195.73,794.774,115.89,20.0,70,XY,45deg,aged,2.68,580,160.0,910,20.5,98.902,1.116,18.686,equiaxed,2.39,alpha-Al,Si network/Mg2Si,fine cellular Al-Si network,470.8,577.65,2.13,159.09,76.22,9.41,B
demo_0072,demo_synthetic_literature_style,CoCrMo,Co alloy,Co,PBF,L-PBF,Optomec LENS,149.09,1345.797,107.01,40.0,80,XZ,vertical,stress relieved,8.4,1390,13.0,450,14.0,98.033,1.97,12.13,dendritic,4.55,FCC/HCP Co,carbides,cellular/dendritic CoCr,812.53,918.06,6.75,274.08,212.32,14.34,A
demo_0073,demo_synthetic_literature_style,Maraging Steel M300,maraging steel,Fe,PBF,L-PBF,Renishaw AM250,348.0,1272.353,82.41,40.0,1000,Z,45deg,annealed,8.1,1413,14.2,452,10.3,98.565,1.6,12.647,columnar,2.22,martensite,Ni-Ti-Mo precipitates after aging,martensitic with age hardening,1203.95,1330.73,7.16,369.58,191.99,15.33,C
